,player,game,city,date,frame,thrown,points,cumulative
86,Don,2,Eindhoven,10-08-2018,7,X ,19,93
87,Don,2,Eindhoven,10-08-2018,8,9-,9,102
88,Don,2,Eindhoven,10-08-2018,9,71,8,110
89,Don,2,Eindhoven,10-08-2018,10,81 ,9,119
90,Brunswick,2,Eindhoven,10-08-2018,1,43,7,7
91,Brunswick,2,Eindhoven,10-08-2018,2,9-,9,16
92,Brunswick,2,Eindhoven,10-08-2018,3,6-,6,22
93,Brunswick,2,Eindhoven,10-08-2018,4,X ,20,42
94,Brunswick,2,Eindhoven,10-08-2018,5,3/,16,58
95,Brunswick,2,Eindhoven,10-08-2018,6,63,9,67
96,Brunswick,2,Eindhoven,10-08-2018,7,31,4,71
97,Brunswick,2,Eindhoven,10-08-2018,8,71,8,79
98,Brunswick,2,Eindhoven,10-08-2018,9,9-,9,88
99,Brunswick,2,Eindhoven,10-08-2018,10,-7 ,7,95
100,Vlad,3,Eindhoven,10-08-2018,1,X ,20,20
101,Vlad,3,Eindhoven,10-08-2018,2,7/,17,37
102,Vlad,3,Eindhoven,10-08-2018,3,71,8,45
103,Vlad,3,Eindhoven,10-08-2018,4,X ,18,63
104,Vlad,3,Eindhoven,10-08-2018,5,8-,8,71
105,Vlad,3,Eindhoven,10-08-2018,6,8/,19,90
106,Vlad,3,Eindhoven,10-08-2018,7,9/,20,110
107,Vlad,3,Eindhoven,10-08-2018,8,X ,26,136
108,Vlad,3,Eindhoven,10-08-2018,9,X ,16,152
109,Vlad,3,Eindhoven,10-08-2018,10,6- ,6,158
110,Dymytry,3,Eindhoven,10-08-2018,1,61,7,7
111,Dymytry,3,Eindhoven,10-08-2018,2,X ,27,34
112,Dymytry,3,Eindhoven,10-08-2018,3,X ,19,53
113,Dymytry,3,Eindhoven,10-08-2018,4,72,9,62
114,Dymytry,3,Eindhoven,10-08-2018,5,8/,20,82
115,Dymytry,3,Eindhoven,10-08-2018,6,X ,20,102
116,Dymytry,3,Eindhoven,10-08-2018,7,9/,16,118
117,Dymytry,3,Eindhoven,10-08-2018,8,6/,17,135
118,Dymytry,3,Eindhoven,10-08-2018,9,7/,19,154
119,Dymytry,3,Eindhoven,10-08-2018,10,9/8,18,172
120,Kaspareski,3,Eindhoven,10-08-2018,1,9-,9,9
121,Kaspareski,3,Eindhoven,10-08-2018,2,63,9,18
122,Kaspareski,3,Eindhoven,10-08-2018,3,7-,7,25
123,Kaspareski,3,Eindhoven,10-08-2018,4,81,9,34
124,Kaspareski,3,Eindhoven,10-08-2018,5,71,8,42
125,Kaspareski,3,Eindhoven,10-08-2018,6,8-,8,50
126,Kaspareski,3,Eindhoven,10-08-2018,7,9/,18,68
127,Kaspareski,3,Eindhoven,10-08-2018,8,8/,17,85
128,Kaspareski,3,Eindhoven,10-08-2018,9,7-,7,92
129,Kaspareski,3,Eindhoven,10-08-2018,10,34 ,7,99
130,Don,3,Eindhoven,10-08-2018,1,X ,19,19
131,Don,3,Eindhoven,10-08-2018,2,81,9,28
132,Don,3,Eindhoven,10-08-2018,3,7-,7,35
133,Don,3,Eindhoven,10-08-2018,4,8-,8,43
134,Don,3,Eindhoven,10-08-2018,5,81,9,52
135,Don,3,Eindhoven,10-08-2018,6,27,9,61
136,Don,3,Eindhoven,10-08-2018,7,8-,8,69
137,Don,3,Eindhoven,10-08-2018,8,9/,18,87
138,Don,3,Eindhoven,10-08-2018,9,8-,8,95
